"","X","gradu","skilled","income","net_in_ra","net_in","X20_net_in","X20_net_in_ra","연도","V10","Network"
"1","경기도2010",0.2483246,0.1407225,25513354,0.036695501,432516,261299,0.071393208,2010,0.2750562997,0.910903605296267
"2","강원도2010",0.1989003,0.0872814,23174364,0.007184515,10991,-16886,-0.041568557,2010,0.2023304619,-0.54619809218565
"3","충청북도2010",0.1959127,0.0946463,28075267,0.015594426,24164,-2354,-0.005395803,2010,0.205425213,-0.484193071446046
"4","충청남도2010",0.1797516,0.0862107,44353766,0.032692143,67853,20742,0.035745028,2010,0.1880353461,-0.832608508730628
"5","전라북도2010",0.2092429,0.0931773,22298424,-0.004696722,-8778,-28979,-0.057955914,2010,0.2138110814,-0.316177639102687
"6","전라남도2010",0.1424941,0.0729439,35259301,-0.012113204,-23239,-33999,-0.07182513,2010,0.152314666,-1.54829175396261
"7","경상북도2010",0.1637648,0.0781923,34218137,-0.002397469,-6449,-34289,-0.047113153,2010,0.1710636697,-1.17264527199984
"8","경상남도2010",0.1879099,0.0959503,29872712,0.004521148,14877,-9746,-0.010363614,2010,0.2006891614,-0.579082439990687
"9","제주특별자치도2010",0.1933943,0.1053121,21672272,0.046548389,26591,7035,0.044472822,2010,0.2111854248,-0.368784096513132
"10","서울특별시2010",0.3120638,0.1642239,32314943,-0.050434592,-520109,-118739,-0.034250248,2010,0.3367354039,2.14667798958234
"11","부산광역시2010",0.2437894,0.1032379,20171146,-0.029916954,-106741,-66902,-0.063802932,2010,0.2453483011,0.315687702691012
"12","대구광역시2010",0.2395602,0.1119169,17563960,-0.02469586,-62028,-41561,-0.056094532,2010,0.2484943097,0.378719695309084
"13","인천광역시2010",0.1940141,0.1129024,25124623,0.033199483,91574,45196,0.052999889,2010,0.2169899655,-0.25248696796946
"14","광주광역시2010",0.2814164,0.1262895,20938455,-0.001776389,-2584,-9093,-0.020231934,2010,0.2882480713,1.17520792096485
"15","대전광역시2010",0.2832316,0.1463847,22111260,-0.003810027,-5729,-2269,-0.004825529,2010,0.3037387241,1.48557157125453
"16","울산광역시2010",0.1979019,0.104792,58824783,0.006611039,7446,8561,0.02510064,2010,0.2140045873,-0.312300643197351
"171","경기도2015",0.2819633,0.1387294,30503100,0.051850789,649307,308584,0.086063706,2015,0.2974297389,0.850579697469239
"172","강원도2015",0.2365045,0.0919334,26374831,0.0041994,6507,-22797,-0.061149111,2015,0.2322055953,-0.51123690190897
"173","충청북도2015",0.2299236,0.1030651,34844259,0.010369632,16425,-7898,-0.019194268,2015,0.2354230109,-0.444060397483721
"174","충청남도2015",0.2142687,0.09134,48756614,0.026126165,54281,6358,0.01179209,2015,0.2160653509,-0.848229486690737
"175","전라북도2015",0.2444818,0.095376,25147217,-0.021915686,-40976,-46316,-0.102609206,2015,0.2402794646,-0.342662373719225
"176","전라남도2015",0.1794186,0.0802145,36080943,-0.01002307,-19134,-35447,-0.082623477,2015,0.1835606017,-1.52689699500871
"177","경상북도2015",0.1952445,0.0819727,38152724,-0.00854846,-23105,-51808,-0.078491737,2015,0.1959925604,-1.2673298043029
"178","경상남도2015",0.226812,0.0981257,31679161,-0.001267274,-4264,-36679,-0.042125779,2015,0.2297309539,-0.562905004394082
"179","제주특별자치도2015",0.2352483,0.1047224,27141007,0.087577575,54683,17147,0.109283035,2015,0.2403592849,-0.340995803588785
"180","서울특별시2015",0.3460704,0.1684128,36934861,-0.053463113,-535817,-44805,-0.01437936,2015,0.3637396224,2.23506548860403
"181","부산광역시2015",0.2824812,0.1037971,23536353,-0.032290894,-113463,-55436,-0.058383583,2015,0.2730987581,0.342572513261572
"182","대구광역시2015",0.267813,0.113815,20830215,-0.028961396,-72051,-36859,-0.05504942,2015,0.269810996,0.273927242423758
"183","인천광역시2015",0.2353562,0.1158963,27389806,0.003842006,11241,9470,0.011108127,2015,0.2483355175,-0.174459834610856
"184","광주광역시2015",0.3175287,0.1259646,23669075,-0.024031398,-35379,-22903,-0.054474727,2015,0.3135497631,1.18715010416659
"185","대전광역시2015",0.3121599,0.1447197,24468808,-0.051697585,-78517,-26584,-0.06027619,2015,0.3230138772,1.38475158988068
"186","울산광역시2015",0.2413317,0.1044464,62081209,-0.03616853,-42445,-20677,-0.061251211,2015,0.2444651167,-0.255270034097885
"341","경기도2020",0.354011,0.1376485,34567749,0.024085955,318890,160239,0.043490598,2020,0.3476032665,0.846497674266787
"342","강원도2020",0.2889012,0.0874246,29583806,0.007874138,12138,-6812,-0.019634349,2020,0.2660623406,-0.554446528272829
"343","충청북도2020",0.2839384,0.0996912,41411378,0.004322481,6916,-4721,-0.011949826,2020,0.2712261272,-0.465728172176487
"344","충청남도2020",0.2635011,0.0897782,52355419,0.004361709,9263,-7153,-0.01386845,2020,0.2497684651,-0.834389516001735
"345","전라북도2020",0.3044621,0.0944211,26945144,-0.007859072,-14295,-18087,-0.04476886,2020,0.2820104224,-0.280444577807639
"346","전라남도2020",0.2264113,0.0796861,39530187,-0.007620622,-14241,-22150,-0.056586228,2020,0.2164108618,-1.40750222520819
"347","경상북도2020",0.2418411,0.0797745,38777123,-0.005116969,-13641,-27743,-0.0474074,2020,0.2273822292,-1.21900456733499
"348","경상남도2020",0.2769023,0.0968535,32200888,-0.009029151,-30361,-36436,-0.046079639,2020,0.2642453506,-0.585664000707398
"349","제주특별자치도2020",0.3206003,0.1032135,28307958,0.010872011,7295,632,0.003821618,2020,0.2996363566,0.0223843398099715
"350","서울특별시2020",0.4547199,0.1599203,42136616,-0.017585684,-171093,9734,0.003328162,2020,0.4345506214,2.34032904089479
"351","부산광역시2020",0.3414417,0.1054825,25840195,-0.009739762,-33250,-13649,-0.015954515,2020,0.3159754094,0.30310351294299
"352","대구광역시2020",0.3294752,0.1081183,22237049,-0.016880015,-41154,-19556,-0.031562298,2020,0.3093786045,0.189764653003211
"353","인천광역시2020",0.2795954,0.1082896,29449845,-0.001462618,-4325,-1942,-0.00239047,2020,0.274234695,-0.414038354200586
"354","광주광역시2020",0.382996,0.117686,26933507,-0.008215766,-11966,-5576,-0.014077662,2020,0.353982174,0.956092866889704
"355","대전광역시2020",0.4013576,0.1457255,27309018,-0.013579502,-20028,-4150,-0.010180502,2020,0.3867877517,1.51972129497673
"356","울산광역시2020",0.2863638,0.1013041,62110778,-0.023743509,-27258,-14020,-0.046522663,2020,0.2740812053,-0.416675441074338
